06.12e-17;-1;0.909;-0.584;
0.26.12e-17;-1;0.909;-0.584;
0.46.12e-17;-1;0.909;-0.584;
0.66.12e-17;-1;0.909;-0.584;
0.86.12e-17;-1;0.909;-0.584;
16.12e-17;-1;0.909;-0.584;
1.26.12e-17;-1;0.909;-0.584;
1.46.12e-17;-1;0.909;-0.584;
1.66.12e-17;-1;0.909;-0.584;
1.86.12e-17;-1;0.909;-0.584;
26.12e-17;-1;0.909;-0.584;
2.26.12e-17;-1;0.909;-0.584;
2.46.12e-17;-1;0.909;-0.584;
2.66.12e-17;-1;0.909;-0.584;
2.86.12e-17;-1;0.909;-0.584;
36.12e-17;-1;0.909;-0.584;
3.26.12e-17;-1;0.909;-0.584;
3.46.12e-17;-1;0.909;-0.584;
3.66.12e-17;-1;0.909;-0.584;
3.86.12e-17;-1;0.909;-0.584;
46.12e-17;-1;0.909;-0.584;
4.26.12e-17;-1;0.909;-0.584;
4.46.12e-17;-1;0.909;-0.584;
4.66.12e-17;-1;0.909;-0.584;
4.86.12e-17;-1;0.909;-0.584;
56.12e-17;-1;0.909;-0.584;
5.26.12e-17;-1;0.909;-0.584;
5.46.12e-17;-1;0.909;-0.584;
5.66.12e-17;-1;0.909;-0.584;
5.86.12e-17;-1;0.909;-0.584;
66.12e-17;-1;0.909;-0.584;
6.26.12e-17;-1;0.909;-0.584;
6.46.12e-17;-1;0.909;-0.584;
6.66.12e-17;-1;0.909;-0.584;
6.86.12e-17;-1;0.909;-0.584;
76.12e-17;-1;0.909;-0.584;
7.26.12e-17;-1;0.909;-0.584;
7.46.12e-17;-1;0.909;-0.584;
7.66.12e-17;-1;0.909;-0.584;
7.86.12e-17;-1;0.909;-0.584;
86.12e-17;-1;0.909;-0.584;
8.26.12e-17;-1;0.909;-0.584;
8.46.12e-17;-1;0.909;-0.584;
8.66.12e-17;-1;0.909;-0.584;
8.86.12e-17;-1;0.909;-0.584;
96.12e-17;-1;0.909;-0.584;
9.26.12e-17;-1;0.909;-0.584;
9.46.12e-17;-1;0.909;-0.584;
9.66.12e-17;-1;0.909;-0.584;
9.86.12e-17;-1;0.909;-0.584;
106.12e-17;-1;0.909;-0.584;
